#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
(leucyl-leucine)	310.0972980121004	307.67158611175967	303.6273547172086	298.70266570981806	372.67564246817375	330.637469964945	259.21951154715794	253.07184631823185	282.37312163692604	389.227167073834	294.7606135689199	289.05650999735593	301.439676996647	348.6220963846375	307.71688061026975	313.9195112960592	394.0820444221634	327.73098101928696	403.0985080529711
(lipoate)	301.4552928523145	299.73336652783127	298.9353279138773	294.7947039013443	366.6458955552728	323.9181712628501	253.05733281900254	247.58192913340423	278.0740502736282	382.20680074477593	288.25653951981394	282.08443949715365	298.13236120209166	345.28810772481324	303.0871898978017	304.9394167823102	390.7736724393657	322.30424230463694	398.45326976158736
(N6-acetyl-lysine)	313.1193173597272	309.1724235835126	307.04280950071995	305.38639468642134	375.90021785681387	333.5768177445715	261.2559030869765	256.07925585338353	287.8579375427281	393.0793124129087	296.93901624491934	291.18795363407	305.5582905780901	354.73637565826755	312.3019781735273	316.5351011956422	397.8817174952495	332.01904184362814	408.57198060500843
(queuine)	309.4837166398464	304.87069191096555	303.27950308529057	300.7421514997141	372.83927680704113	329.77275221482404	255.63254684435663	249.98183583808355	282.8337291520893	387.1640075065744	292.8578904219668	285.151477986963	299.69981924135107	348.6598948294794	306.99174509380816	311.8219964182558	392.35851660815547	325.3703532769168	401.86623122605255
2-aminobutanoate	304.14242555868515	300.85246946934745	300.0453503920258	296.82586025763317	368.51359120605423	324.9682274348665	252.3148561261841	247.14905939123886	279.45357917838527	383.584856080886	288.36612438710387	282.4906031178667	297.5110441633731	346.4147404809262	304.60621411249105	307.86646941900926	390.2690807678759	323.8125857382215	399.40469588222356
2-oxoglutarate	304.60419517906854	303.50241886235597	303.5391984534927	297.68923844530525	368.1748040204515	325.8558909079137	256.34720044625715	249.88494339040207	282.28530960498574	385.9495721694037	290.734327153348	286.40205322132255	300.70183857068827	349.0130269567265	304.01914773397624	309.2502034183864	392.24756146999414	324.4960163784207	398.96426546471304
2'-deoxyguanosine	303.378373645888	301.0643877657584	299.8667764363835	295.9689761528541	367.98990049779565	325.37365585658836	252.80659135220597	247.27862143082197	279.68201209854146	383.8004303681716	289.35811122503367	283.3154942932496	297.76991336334413	345.33494040223206	303.86131039702633	308.2002742446572	389.78142226756955	323.2884364118647	398.90323247315564
2'-deoxyuridine	304.8408983069501	299.4726051383532	293.52767532529845	295.004655344538	365.15224310930125	327.34890398190385	252.542375404651	250.54518731378545	275.8010383484467	382.04552295047176	291.14272150703067	286.13429505954707	297.26675049020133	344.7443492043444	302.3929808088827	310.64245220516864	390.19715742526523	321.0271991664534	397.61642955173625
3',5'-cyclic-AMP	305.5759367633007	303.9053025443399	303.44442074952696	299.78921361007457	372.04710223494124	325.8682263304112	255.95741952270927	250.7751797229986	281.98508813336673	388.28774375180694	290.3841304148689	285.96483551999864	300.72540323167175	349.3527677984571	307.1953374719511	310.37781739742525	392.96706248433446	326.4341533498767	403.17448553557597
4-guanidinobutanoate	311.70415469026943	309.3282183937639	307.51679768539174	304.46982718051345	376.66172222985386	332.23447789099816	260.78568630828073	255.19809361488907	287.56614164350617	391.0868908040716	295.99263419552267	290.91503591035723	305.6231596269395	355.52001864835296	312.25841799038244	315.66660043493664	397.79068268959185	331.81017521776624	407.71330623100846
4-hydroxy-proline	308.02411747274186	305.0526100644921	304.1832529398051	301.2110345536617	372.14538676224146	328.4837352522764	257.10471850331584	252.4654682438617	283.9226494551925	388.34750537074115	292.2470740525771	287.14270998581543	302.27861294530607	350.1134353747819	308.54937660034153	312.0437500118488	394.4563116802019	327.6701164156277	402.3652225766039
7-methyladenine	308.59505428201453	304.93034362094164	303.69773612745456	301.76040035849934	374.68466390762325	328.26061862708326	256.334713692261	250.93330154490346	284.32152835543707	389.72015059828266	291.86880603838625	286.3433760478408	301.3930271962452	351.4445216119716	309.61914782026815	311.52702841761516	394.3827790951914	328.6726565720105	405.5698113810891
adenine	314.01922361189537	310.2490979236364	309.24408354616185	305.0396841408565	376.8728729604411	334.15942961503606	261.60637514950866	256.3059011478538	288.20987261592535	393.1381065335559	297.68177601106186	291.45187393400454	305.36790666505675	354.0403744782224	312.6343394385917	317.15719945964725	398.3535053965925	331.4137118642204	407.79080425947814
adenosine	315.0424386408934	308.24287203439826	306.14972728519916	302.1188255587808	375.7081314373139	335.1114931712716	259.20142868333465	253.53809408204023	284.67143893812107	391.01015095559495	298.22855764095135	289.17797936142046	303.30437063235786	351.4081584505303	310.83676438839854	317.8269394158724	396.3751397819814	328.502719485868	406.350917268496
alanine	304.6675364774934	300.91982981827914	297.97096484429227	295.0822524726558	366.90450720523	326.61421315930727	253.15792409098503	249.44616833607057	277.92468764270484	382.5454854670119	290.9350310174715	285.2790337232872	297.79117531770777	344.70889010526366	302.97985082955074	310.0346425649861	393.01806453849815	323.86125891677125	397.73218329697966
aminoadipic acid	301.1626651524872	300.408572567687	302.1150401531165	298.149906088903	365.35265821121743	323.1072846428093	253.77904334993593	248.1467984479249	280.90993444760255	383.81865773490335	287.52916166538057	283.96196719972886	299.9674297730485	348.47009712672156	305.9526705791844	306.5459033540794	392.0708620198359	325.3403853218503	399.2560048428073
arginine	310.8651315550554	307.254329683776	304.9154491636494	301.92962042761457	373.93630608338344	331.1786032955003	259.0034505127477	252.6727910195783	284.4039846054226	389.28605179702964	294.83199277733274	289.5072979596938	303.5998675666935	350.7625056003585	308.9640482775845	314.5533980050896	395.89381732298614	328.01313693061917	404.0432093897743
asparagine	309.8913795380458	305.53508531684577	302.89432128438204	299.2925360967366	371.54215283465925	329.94325418401814	257.42254647774865	251.1654234052721	282.2733446383915	387.0272748877801	294.57062339386164	287.2584216615081	300.0581685765893	348.1581862608258	306.7063855424212	313.106268308055	393.05816671391676	325.6291094066323	401.8467952474707
aspartate	311.88121285011044	306.4198098212557	303.6235090226654	299.76774584298613	372.07053042576183	332.0818201873797	258.58300360748416	252.8698805548548	282.5323063937305	387.76943044805563	295.50445358112194	288.0881932398024	299.96770677310906	349.29829272661533	307.43186946370923	315.0050241649371	392.71142818216555	326.669902783309	403.0879521587169
betaine	311.8235643781291	307.90566598157136	306.111374521074	303.57887327685927	376.1735232962423	332.23763675912085	259.6908383044192	254.59094534065088	286.74469934160305	393.41460534326006	295.4136247768069	289.78255552869916	304.0695355606226	353.2510433637572	311.8157910227402	315.2551423573948	396.3283680995773	330.52430953136286	407.43608657357896
biotin	303.89073183682586	298.1108015676104	297.285219949283	294.43555210108485	366.4103516969027	324.792988143692	248.7306484135258	245.45583138658475	276.4454928553135	381.2332941606723	288.8653583813604	282.1442697107908	293.8719975453161	342.340439756061	300.69464792275244	307.59263243460094	386.42052540398544	319.4447426328832	395.2995248798431
carnitine	310.67999062220065	306.53435960094976	305.371078908746	302.48270177629047	374.68363266161714	331.4624704937659	258.9609213920261	253.50622550046893	285.5297132652989	390.8498773913923	294.54955946324935	288.54897039785374	303.417399202154	351.3531608765475	310.56664193452406	314.8166518045768	395.60621106032585	329.3272474784765	406.09028322051955
citrulline	304.956843794825	299.9053602515692	297.62397037963996	293.82747948739967	364.7402253765341	325.7816210928622	252.2314610925111	247.16820287817382	276.3434669841139	382.1618072844563	289.72937894949354	283.00666095905194	297.0032093467556	343.0360664666296	301.95433251780554	308.779921800368	390.7979796780065	322.82045583185584	396.3274423671841
creatinine	308.825407647527	304.52113167069837	303.03535394465064	300.39731928772835	372.6317979307014	328.9104694870893	255.53270429574349	250.14780117500334	282.5269207966403	387.4896949976808	292.1892783431566	285.4895897909215	300.17849900408913	349.05106971603533	307.31229705917445	311.15002032823327	392.65227049991364	326.1941857785511	403.06273666617847
cytidine	305.79510328322164	299.53875175616224	298.08768316532326	295.41665408531935	367.94000467376674	326.79537632853055	250.97502189349197	248.04683327591957	277.6952738405881	382.5205036953827	290.9811711832735	284.22000757987223	295.7162439465787	343.81615534943535	302.45792219857407	309.77850333127225	388.48843859991143	321.3212521813127	397.7033583707873
cytosine	311.8997483515424	308.6317680168177	306.4558445743668	301.45546491435005	374.5707651114321	332.256018911572	259.8073429944825	253.86071468400834	284.99030603156405	390.50001668674827	295.8215883335388	290.15226045876875	303.2078088744258	353.76152032999886	309.29299159213394	315.46838736908313	397.4744556164273	329.83552523800205	405.21842941923893
decanoate	308.4670977867786	303.77480024857834	302.4621638693879	300.0112648936547	372.2333860929639	328.771598186228	254.58130400400964	249.13616593761557	282.3374126023708	386.90010482133806	291.9835678758172	284.2570567472136	299.0635242261401	348.1214696921575	306.4104557252997	310.88236525907166	391.5346114660218	324.81969157209306	401.53489037540453
disaccharide (maltose)	307.9279690101181	304.3877974968674	303.72693599971757	296.34705946824204	367.85671489808163	330.7375477675527	256.96453797362	249.82799756061416	278.8109125018662	383.2603723175182	295.6704283956739	287.7593812232681	302.68915041982984	345.7368759939946	304.28827999105874	313.0902607570876	392.55171809237515	322.8151350100119	398.5327961491788
ergothioneine	309.9115784320747	303.443454557815	301.6062990116682	298.20971371583255	369.7893675143142	330.720575206143	255.01846854334886	249.47715610201502	279.5326513023323	385.7210246593997	293.5939805439881	285.10700482180386	299.25715566876477	346.9384759031189	305.22198940529785	313.59001724515576	393.14000390428157	324.365924524966	401.38083595746286
fumarate	304.46255924086404	302.8823445627797	302.99088982372047	298.85795604766406	367.8138544915368	325.7610941832217	255.31387760618108	249.61836810894698	282.7398410265314	385.9850795862446	291.1648446137472	285.28651997249585	300.5423741391849	349.49750095271537	304.82676185493136	308.23861043275593	392.2284214540294	324.9180242116154	398.97709943889265
glutamate	308.2363951512927	303.9024458120683	303.0058592654588	297.47341820582375	369.2445050713892	329.84453175776406	256.44937886965414	250.8174215344336	280.63970862615804	384.8050509868719	293.45724131995496	287.0350906744519	299.0136853745746	346.5797041581129	304.7256866961876	312.52630780564886	393.5269047393999	324.3801877045239	399.88443824222014
