#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
(2,3-dihydroxy-3-methylbutanoate)	-14.496420764629585	-10.846971280794246	-5.236693413656459	3.885123172683481	6.036225416983483	-9.0690511897457	-4.482187944360849	-5.165383714925275	5.251578540221869	-3.0075113494972463	-10.750935133371737	-5.115578862488704	-2.8312373004915017	7.294096235715967	6.8927406831585225	-10.255920194176063	-3.0318528031909544	-2.3368675396743512	7.451140560362194
(2,5-diaminohexanoate)	0.3423469606868874	-1.055592667437132	-0.21386388144801494	9.688650696797897	10.662490843381612	-0.753766584510748	-1.6030360668384986	-1.493141635262198	9.085955986565484	0.06812656909587034	-0.9332746357768649	-2.253317959083482	-0.6605135747454884	9.413427210033271	9.806971910730013	-0.7265941266804106	-0.7524863941902229	0.11948763869527568	10.139738113049638
(3-hydroxypyridine)	0.3358165454181865	0.48799000937529335	0.8441973453487748	10.210227259513687	11.76401326495834	-0.28330553005717185	-0.2529985058745847	0.3347971890140613	11.289529576166496	1.3861861038697398	-0.522687006781613	-0.8047240820552091	0.21706215510963567	10.066332227593941	11.304937253587102	-0.6421202108561168	-0.31630034222100534	2.683494241488294	11.735889535679448
(3-methyladenine)	0.46710275437733983	2.3457433471868274	2.2024766446004556	10.856777010956893	10.323994180833864	0.05403070819959588	1.8307655305299129	1.5692388176137477	11.254068398688426	2.3770697484179664	0.4906951178173937	1.4417916467687455	1.6185859247020744	10.83567626741201	10.694325468329119	0.5429377324445959	1.6000323189161385	1.774898044601855	9.890751106948606
(4-oxoproline)	4.296477942274256	3.720423364745864	2.215282562723221	10.549049506323659	10.402453317465351	3.626180914857345	3.493771664480267	2.584637852420691	10.634124392691758	1.3661341263484523	3.705006261964753	3.107199635705964	1.640042680422905	10.323709672209711	10.034263825166061	3.691652367896456	2.051999643394552	1.2142026790496274	9.88176607145602
(5,6-dihydrothymine)	1.6863856482570103	1.2183848479979122	1.357698387642401	10.762219042568919	10.40089820145823	0.8479601426357721	0.9561550360824569	0.9381994661523656	10.25970316261613	1.1350706970032824	1.7663505556450705	0.7392795497670939	1.361685235386414	10.350396025369504	11.361453745275046	1.0052309813768083	0.6287602438329642	1.5587052743579264	9.943904781620365
(alanyl-leucine)	1.5010625253410979	2.553959289955328	0.7510116862678604	10.350301651601981	10.679076664118046	0.9494374264590082	2.212898337750296	1.120084382349006	9.790167169754536	1.4951605582666545	1.3470339667381754	1.7077134489992218	0.34920411586869804	9.432592620543664	10.036312057795687	1.3558227972218084	0.28352958829093566	1.3125200227894815	10.29646940012963
(dehydroalanine)	1.5614859255107643	-0.2547712157797193	-1.563352041552358	7.379526691982847	7.975526289345445	0.878906625917713	-0.06334264238036269	-0.6253487558253266	7.5694860463070714	-1.4349190357211814	0.4233149473102902	-0.9117649188722048	-2.6568553297960236	7.049921880875775	7.4105671120164915	0.7841932345660432	-2.749010341654097	-1.9593567577916708	7.628323554969538
(glycero-3-phosphoethanolamine)	-0.8626231050094066	-0.029168272445526	0.6997327292853885	8.564363954057399	10.168482979793847	-1.6553984456124304	-0.9903606800928344	-0.903002068972178	7.674126071461091	0.5897776556106322	-2.163496950200571	-2.144198937540441	-1.9656985892557337	7.133908247469769	8.594752509215496	-1.9791410244045942	-1.8819942578016473	-2.7022990025527065	7.924205277025242
(indoleacrylate)	1.3812984561173423	2.1139654606416602	-0.4029921514854049	6.542031097496605	7.633180945874472	0.8650227104338217	2.25531595236885	1.131833885494057	6.496300357579061	-0.06449449383731043	1.4698815861956565	2.0104888247554626	1.3813827458964525	7.396720953768341	6.558379090360359	1.521237345949892	0.9875177570637028	-1.8127822192329202	6.825027947616072
(leucyl-leucine)	2.3021610154750167	3.4824437697241084	0.8260582758426143	8.255624422669168	10.569898925679063	1.8992796975354924	3.0872882423507875	2.0989023580659385	9.123876221094132	2.300094134679778	2.252077857568361	2.515230934987329	0.7943190220084482	8.572140828828974	9.820011524460103	2.197889443330393	0.8265505521160961	1.4832221068285385	9.989157433182587
(lipoate)	-6.339844144310851	-4.45577581420433	-3.8659685274887057	4.347662614195387	4.540152012778097	-4.820019004559491	-3.0748904858046266	-3.391014826761687	4.8248048577963125	-4.720272194378316	-4.251996191537586	-4.456839565214951	-2.512996772546895	5.2381521690047546	5.190320811992071	-6.782205070418614	-2.481821430681576	-3.943516607821488	5.34391914179881
(N6-acetyl-lysine)	5.32418036310178	4.983281241477032	4.241513059353974	14.939353399272466	13.794474314319164	4.8386274771619515	5.123679782169301	5.106311893217612	14.608692126896239	6.152239473754467	4.430480533567822	4.646674571701418	4.912932603451598	14.686420102459055	14.405109087717626	4.813479342913325	4.626223625202183	5.771282931169704	15.462629985219891
(queuine)	1.6885796432210558	0.6815495689299489	0.47820664392460444	10.295110212565241	10.733533264546463	1.0345619474144971	-0.4996764604505639	-0.9911081220823483	9.584483736257374	0.23693456742021546	0.34935471061525725	-1.389801075405602	-0.9455387332875009	8.609939273670912	9.094876007998504	0.10037456552695545	-0.8969772618918395	-0.8774056355416562	8.756880606263984
