#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
aspartate	298.23469361853654	292.79436603840776	290.0050903893928	286.13740972705085	358.067861382334	318.32992371217586	245.2104652093482	239.52544275502018	268.99329722227463	373.71545254111254	281.94223614445195	274.5611015510092	286.3633384389871	335.4150512259681	293.7664075998974	301.34445463421247	378.6293496769211	312.93205660725573	388.9307298246319
betaine	298.1770451465552	294.28022219872344	292.49295588780143	289.948537160924	362.1708542528145	318.485740283917	246.31829990628322	241.24650754081625	273.2056901701472	379.36062743631703	281.8514073401369	276.25546383990593	290.4651672265007	339.36780186311	298.15032915892834	301.5945728266702	382.24628959433284	316.78646335530965	393.27886423949394
biotin	290.24421260525196	284.48535778476247	283.6668013160104	280.8052159851496	352.40768265347486	311.04109166848815	235.35811001538985	232.11139358675015	262.90648368385763	367.1793162537292	275.3031409446904	268.6171780219976	280.26762921119416	328.4571982554138	287.0291860589406	293.93206290387633	372.338446898741	305.70689645682995	381.1423025457581
carnitine	297.03347139062674	292.90891581810183	291.7526602754734	288.8523656603552	360.6809636181893	317.71057401856206	245.58838299389012	240.1617877006343	271.990704093843	376.7958994844492	280.98734202657937	275.0218787090605	289.81303086803206	337.4699193759003	296.9011800707122	301.1560822738522	381.5241325550814	315.58940130242325	391.93306088643453
citrulline	291.3103245632511	286.2799164687213	284.00555174636736	280.1971433714644	350.7375563331063	312.02972461765836	238.8589226943751	233.8237650783392	262.80445781265803	368.1078293775132	276.16716151282355	269.4795692702587	283.3988410126337	329.1528249659824	288.2888706539937	295.1193522696434	376.7159011727621	309.08260965580257	382.1702200330991
creatinine	295.1788884159531	290.89568788785044	289.41693531137804	286.7669831717931	358.62912888727357	315.15857301188544	242.1601658976075	236.80336337516871	268.98791162518444	373.4357170907377	278.62706090648663	271.9624981021283	286.5741306699672	335.1678282153881	293.6468351953626	297.48945079750865	378.5701919946692	312.45633960249785	388.90551433209345
cytidine	292.14858405164773	285.9133079733143	284.4692645320507	281.7863179693841	353.93733563033896	313.0434798533267	237.60248349535598	234.70239547608497	264.1562646691322	368.46652578843964	277.4189537466035	270.692915891079	282.11187561245674	329.93291384878813	288.7924603347622	296.11793380054763	374.406360094667	307.5834060052594	383.5461360367023
cytosine	298.2532291199685	295.0063242339698	292.8374259410942	287.82512879841477	360.56809606800425	318.5041224363682	246.43480459634654	240.51627688417372	271.45129686010824	376.4460387798052	282.2593708968688	276.6251687699755	289.60344054030384	339.87827882935164	295.6275297283221	301.8078178383585	383.39237711118284	316.0976790619488	391.0612070851539
decanoate	294.8205785552047	290.1493564657304	288.8437452361153	286.3809287777194	358.23071704953605	315.01970171102414	241.20876560587365	235.79172813778095	268.798403430915	372.846126914395	278.4213504391472	270.7299650584204	285.4591558920182	334.23822819151036	292.7449938614879	297.22179572834705	377.4525329607773	311.0818453960398	387.3776680413195
disaccharide (maltose)	294.28144977854424	290.76235371401947	290.10851736644497	282.71672335230676	353.8540458546538	316.98565129234885	243.591999575484	236.48355976077954	265.2719033304104	369.2063944105751	282.10821095900394	274.2322895344749	289.0847820857079	331.8536344933474	290.6228181272469	299.429691226363	378.4696395871307	309.0772888339586	384.3755738150938
ergothioneine	296.2650592005008	289.8180107749671	287.9878803783957	284.57937759989727	355.7866984708864	316.96867873093913	241.6459301452129	236.13271830218042	265.9936421308764	371.6670467524566	280.0317631073181	271.5799131330107	285.6527873346429	333.0552344024717	291.556527541486	299.92944771443115	379.0579253990371	310.6280783489127	387.2236136233779
fumarate	290.81604000929013	289.25690077993175	289.37247119044787	285.2276199317288	353.811185448109	312.00919770801784	241.9413392080451	236.27393030911236	269.20083185507553	371.9311016793015	277.60262717707724	271.7594282837026	286.93800580506297	335.61425945206815	291.1612999911195	294.5780409020313	378.14634294878493	311.1801780355621	384.8198771048077
glutamate	294.58987591971885	290.2770020292204	289.3874406321862	283.84308208988847	355.24183602796137	316.0926352825602	243.07684047151815	237.47298373459898	267.1006994547022	370.75107307992886	279.895023883285	273.5079989856587	285.4093170404527	332.6964626574657	291.06022483237575	298.86573827492424	379.44482623415547	310.64234152847064	385.7272159081351
glutamine	297.78620915817174	293.6900300309431	291.97821688537033	286.86155934218885	358.24915629350704	317.96624669059344	245.58650698315893	239.73261206127725	269.4064034504307	374.14433162450865	282.5680334294567	275.361061951444	289.23331605837535	335.1598724548552	294.01521925443	301.2744060594632	382.19207178297205	312.919252087365	388.6722796372916
