#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
(2,3-dihydroxy-3-methylbutanoate)	-4.814178921757112	-0.7055482495058412	4.871942331297562	4.3536086954980195	6.345306635376163	1.2303647088823855	6.3844261657678105	5.962185507903107	6.138030178077606	7.213266804460171	-0.09459120375023478	6.348801489826137	7.831577206405584	8.583385911121482	8.035760932957675	0.6426892761294125	8.097111824318574	8.18223423267304	8.952539340673477
(2,5-diaminohexanoate)	10.02458880355936	9.085830363851272	9.894771863506005	10.157136219612434	10.971572061774292	9.545649314117338	9.26357804329016	9.634427587566183	9.97240762442122	10.288904723053289	9.723069293844638	9.211062393231359	10.002300932151599	10.702716885438786	10.949992160529165	10.172015343625064	10.376478233319304	10.638589411042666	11.64113689336092
(3-hydroxypyridine)	10.01805838829066	10.629413040663698	10.952833090302796	10.678712782328224	12.073094483351019	10.016110368570914	10.613615604254075	11.462366411842442	12.175981214022233	11.606964257827158	10.13365692283989	10.659656270259632	10.879876662006723	11.355621902999456	12.447957503386254	10.256489259449358	10.812664285288523	13.202596013835684	13.23728831599073
(3-methyladenine)	10.149344597249813	12.487166378475232	12.311112389554477	11.325262533771431	10.633075399226543	10.353446606827681	12.697379640658571	12.696808040442129	12.140520036544164	12.597847902375385	11.147039047438895	12.906171999083586	12.28140043159916	12.124965942817525	11.83734571812827	11.44154720275007	12.728996946425667	12.293999816949245	11.392149887259889
(4-oxoproline)	13.97871978514673	13.861846396034268	12.323918307677243	11.017535029138196	10.711534535858032	13.92559681348543	14.360385774608925	13.712207075249072	11.520576030547495	11.58691228030587	14.361350191586254	14.571579988020805	12.30285718731999	11.612999347615226	11.177284074965213	14.590261838201931	13.18096427090408	11.733304451397018	11.383164851767303
(5,6-dihydrothymine)	11.368627491129484	11.359807879286317	11.466334132596423	11.230704565383457	10.709979419850908	11.147376041263858	11.822769146211115	12.065768688980747	11.146154800471866	11.355848850960701	12.422694485266572	12.203659902081935	12.0244997422835	11.639685700775019	12.504473995074198	11.903840451682283	11.757724871342493	12.077807046705317	11.445303561931647
(alanyl-leucine)	11.183304368213571	12.695382321243732	10.85964743122188	10.81878717441652	10.988157882510725	11.248853325087094	13.079512447878955	12.247653605177387	10.676618807610271	11.715938712224073	12.003377896359677	13.172093801314062	11.012018622765783	10.721882295949179	11.17933230759484	12.254432267527283	11.412494215800464	11.831621795136872	11.797868180440913
(dehydroalanine)	11.243727768383238	9.886651815508685	8.545283703401662	7.848012214797386	8.284607507738125	11.178322524545798	10.803271467748296	10.502220467003056	8.455937684162809	8.785859118236235	11.079658876931791	10.552615433442636	8.005959177101062	8.339211556281288	8.553587361815644	11.682802704871518	8.37995428585543	8.55974501455572	9.129722335280821
(glycero-3-phosphoethanolamine)	8.819618737863067	10.112254758842878	10.808368474239408	9.032849476871936	10.477564198186526	8.644017453015655	9.876253430035824	10.224567153856203	8.560577709316828	10.81055580956805	8.492846979420932	9.3201814147744	8.697115917641352	8.423197922875282	9.73777275901465	8.91946844590088	9.246970369707881	7.816802769794683	9.425604057336525
(indoleacrylate)	11.063540298989816	12.255388491930065	9.705643593468615	7.010516620311144	7.942262164267152	11.164438609061907	13.121930062497508	12.259403108322438	7.3827519954347975	10.156283660120106	12.126225515817158	13.474869177070303	12.044197252793538	8.686010629173854	7.7013993401595116	12.419846816255367	12.116482384573231	8.706319553114469	8.326426727927355
(leucyl-leucine)	11.98440285834749	13.623866801012513	10.934694020796634	8.724109945483706	10.878980144071743	12.198695596163578	13.953902352479446	13.22647158089432	10.010327858949868	12.520872288637197	12.908421787189862	13.97961128730217	11.457133528905533	9.861430504234487	10.963031774259255	13.096498913635868	11.955515179625625	12.002323879175929	11.49055621349387
(lipoate)	3.342397698561623	5.685647217084075	6.242667217465315	4.816148137009925	4.849233231170777	5.479396894068595	7.791723624324033	7.736554396066695	5.711256495652049	5.500505959579102	6.404347738083916	7.00754078709989	8.14981773435019	6.527441844410268	6.333341061791224	4.116404399886861	8.647143196827951	6.575585164525902	6.845317922110093
(N6-acetyl-lysine)	15.006422205974253	15.124704272765436	14.350148804307995	15.407838922087004	14.103555532711843	15.138043375790037	15.99029389229796	16.233881116045993	15.495143764751976	16.373017627711885	15.086824463189323	16.11105492401626	15.575747110348683	15.97570977786457	15.548129337516778	15.7120888132188	15.755188252711712	16.290384703517095	16.964028765531175
(queuine)	11.37082148609353	10.822972600218353	10.586842388878626	10.763595735379779	11.042614482939141	11.333977846042583	10.366937649678096	10.136461100746033	10.470935374113111	10.457712721377632	11.005698640236758	10.074579276909239	9.717275773609586	9.899228949076427	10.237896257797656	10.99898403583243	10.231987365617687	9.641696136805734	10.258279386575266
2-aminobutanoate	6.029530404932233	6.804750158600267	7.352689695613852	6.847304493298804	6.716928881952235	6.529453066085006	7.049246931505601	7.303684653901347	7.090785400409122	6.878561295689248	6.513932605373836	7.4137044078129275	7.528500695631688	7.6540746005231854	7.852365276480565	7.043457036585892	8.142551525338128	8.083928598110472	7.796744042746289
2-oxoglutarate	6.49130002531564	9.454699551608778	10.846537757080757	7.710682680970898	6.378141696349513	7.417116539132232	11.081591251578608	10.039568653064542	9.92251582700958	9.243277384206902	8.882135371617935	11.325154511268785	10.719295102946788	10.2523610763235	7.265298897965733	8.427191035963022	10.121032227456343	8.767359238309659	7.3563136252357655
