#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
(2,3-dihydroxy-3-methylbutanoate)	-16.915165246758118	-12.806534574506848	-7.229043993703445	-7.747377629502988	-5.755679689624845	-10.870621616118623	-5.716560159233198	-6.1388008170979	-5.962956146923401	-4.887719520540835	-12.195577528751242	-5.7521848351748694	-4.269409118595423	-3.517600413879526	-4.065225392043332	-11.458297048871595	-4.003874500682435	-3.918752092327969	-3.1484469843275305
(2,5-diaminohexanoate)	-2.0763975214416464	-3.015155961149736	-2.2062144614950014	-1.9438501053885726	-1.129414263226715	-2.5553370108836706	-2.8374082817108466	-2.4665587374348235	-2.1285787005797863	-1.8120816019477184	-2.3779170311563704	-2.889923931769647	-2.098685392849409	-1.3982694395622226	-1.150994164471842	-1.9289709813759435	-1.724508091681702	-1.4623969139583415	-0.45984943164008674
(3-hydroxypyridine)	-2.0829279367103464	-1.4715732843373086	-1.1481532346982102	-1.4222735426727822	-0.027891841649987814	-2.0848759564300945	-1.4873707207469322	-0.6386199131585644	0.07499488902122597	-0.4940220671738502	-1.9673294021611185	-1.4413300547413739	-1.221109662994285	-0.7453644220015512	0.34697117838524594	-1.8444970655516493	-1.2883220397124853	1.1016096888346782	1.1363019909897232
(3-methyladenine)	-1.9516417277511924	0.38618005347422646	0.21012606455347027	-0.7757237912295769	-1.4679109257744651	-1.7475397181733265	0.5963933156575663	0.5958217154411214	0.03953371154315577	0.4968615773743794	-0.9539472775621101	0.8051856740825801	0.18041410659815404	0.02397961781651725	-0.26364060687273505	-0.6594391222509379	0.6280106214246584	0.19301349194823814	-0.708836437741118
(4-oxoproline)	1.8777334601457238	1.76086007103326	0.22293198267623415	-1.083451295862811	-1.3894517891429754	1.8246104884844219	2.2593994496079177	1.6112207502480653	-0.5804102944535123	-0.514074044695136	2.2603638665852483	2.4705936630197978	0.2018708623189851	-0.4879869773857832	-0.9237022500357941	2.4892755132009228	1.079977945903074	-0.3676818736039906	-0.7178214732337047
(5,6-dihydrothymine)	-0.7323588338715237	-0.7411784457146913	-0.6346521924045829	-0.8702817596175498	-1.391006905150099	-0.953610283737149	-0.27821717878989227	-0.03521763602025885	-0.9548315245291403	-0.7451374740403063	0.3217081602655649	0.1026735770809285	-0.07648658271750741	-0.46130062422599094	0.4034876700731911	-0.19714587331872457	-0.3432614536585157	-0.023179278295690775	-0.6556827630693609
(alanyl-leucine)	-0.9176819567874352	0.5943959962427241	-1.241338893779124	-1.2821991505844872	-1.1128284424902823	-0.8521329999139142	0.9785261228779497	0.14666728017638142	-1.4243675173907342	-0.38504761277693555	-0.09760842864132879	1.0711074763130581	-1.0889677022352222	-1.3791040290518297	-0.9216540174061654	0.15344594252627686	-0.6884921092005447	-0.26936452986413495	-0.3031181445600928
(dehydroalanine)	-0.8572585566177688	-2.2143345094923212	-3.555702621599343	-4.252974110203622	-3.8163788172628834	-0.9226638004552077	-1.2977148572527106	-1.5987658579979531	-3.6450486408381995	-3.3151272067647692	-1.0213274480692145	-1.548370891558371	-4.095027147899945	-3.761774768719718	-3.547398963185363	-0.41818362012948995	-3.7210320391455767	-3.5412413104452893	-2.9712639897201854
(glycero-3-phosphoethanolamine)	-3.2813675871379395	-1.9887315661581293	-1.2926178507615964	-3.068136848129072	-1.6234221268144824	-3.456968871985353	-2.224732894965181	-1.8764191711448046	-3.5404086156841803	-1.2904305154329574	-3.608139345580076	-2.780804910226607	-3.4038704073596557	-3.6777884021257234	-2.3632135659863573	-3.1815178791001264	-2.854015955293127	-4.284183555206325	-2.6753822676644834
(indoleacrylate)	-1.0374460260111904	0.15440216692905728	-2.3953427315323905	-5.0904697046898635	-4.158724160733856	-0.9365477159391011	1.0209437374965018	0.15841678332143272	-4.718234329566211	-1.9447026648808996	0.025239190816151336	1.373882852069296	-0.05678907220746843	-3.4149756958271515	-4.399586984841496	0.31886049125436056	0.015496059572223109	-3.3946667718865378	-3.774559597073652
(leucyl-leucine)	-0.11658346665351615	1.5228804760115067	-1.1662923042043711	-3.3768763795173014	-1.2220061809292646	0.09770927116256933	1.852916027478439	1.125485255893311	-2.0906584660511376	0.4198859636361888	0.8074354621888552	1.8786249623011648	-0.6438527960954727	-2.2395558207665185	-1.1379545507417521	0.9955125886348596	-0.14547114537538386	-0.09866244582507844	-0.6104301115071358
(lipoate)	-8.758588626439384	-6.415339107916933	-5.85831910753569	-7.284838187991082	-7.2517530938302315	-6.621589430932413	-4.3092627006769755	-4.364431928934312	-6.389729829348958	-6.600480365421904	-5.696638586917091	-5.093445537901116	-3.951168590650817	-5.573544480590739	-5.767645263209784	-7.984581925114146	-3.453843128173056	-5.525401160475105	-5.255668402890914
(N6-acetyl-lysine)	2.9054358809732452	3.0237179477644283	2.2491624793069893	3.306852597085996	2.0025692077108364	3.037057050789029	3.889307567296952	4.132894791044986	3.394157439750968	4.272031302710877	2.985838138188319	4.010068599015251	3.4747607853476783	3.8747234528635612	3.447143012515773	3.611102488217793	3.6542019277107034	4.189398378516087	4.863042440530168
