OTU_ID	sample_1544	sample_1552	sample_1827	sample_2208	sample_1800	sample_1575	sample_2147	sample_1812	sample_1811	sample_1451	sample_1300	sample_1728	sample_476	sample_1400	sample_676	sample_1663	sample_1388	sample_1495	sample_1576	sample_1284
P_10	2931848.942205284	2145257.8386192448	3826340.3501012367	4181756.8460916793	3524109.4621398454	3911357.167761344	2623600.9940410345	4120747.6152792177	3704260.512507232	4476463.260925677	3017540.963005462	3081434.135392698	0.0	3218561.8511188505	2801474.9664345696	2367890.732045648	4114245.876252885	3091518.571508421	3188083.9479830777	3034842.895578466
P_11	2031770.7654304963	2654876.9327447885	3400839.396625154	2655723.72964362	4156896.176459976	2247170.668623668	3260019.273856786	3807432.475033409	3634897.799153176	4332431.555432586	4425556.20789653	3684271.315227175	0.0	3172392.855936269	3340813.6871585106	5010069.262039465	5325070.562936995	3046090.145369046	2936385.8358397707	3319651.3839490134
P_12	1324961.918370773	1406335.7414751004	2286976.176676637	1679444.1642148788	3291917.369234667	1742037.9480969692	2518345.999531546	2255290.4596649283	2133105.2374232723	2947201.002348612	1992987.387359636	2494245.26905553	0.0	1361152.2330158276	1557765.9706450135	1776973.912015946	2926802.453916736	2069681.2511018785	1592740.238564331	2419547.7132825525
P_13	3109996.940276231	3797371.078973907	5187017.372799334	4247274.28896958	6048147.680996208	6784223.181621595	3643837.603791201	5921096.769868355	6761198.841070649	5130686.045105344	5521936.328353127	4731846.973947059	0.0	4612493.587944879	4151544.9912246782	5307246.287370193	5186714.677573729	4409211.379360706	3916124.479704628	3954307.663891453
P_14	13328589.088454902	20846642.576849826	11781670.356843151	13792823.53374423	21093462.94500792	9002145.441761823	19925173.881914794	31710205.711888347	20305851.1918568	15870604.080753628	23986092.84388923	19331993.69097045	0.0	21911093.31478794	18557396.460253883	18037306.138236348	25941267.225275464	12493903.884384591	11973179.927809931	21669798.1250248
P_15	1962414.6541247184	2636757.4146370264	2483206.1636664853	2788744.375637657	4951173.021531142	1777882.775733414	3500269.55217266	4101071.258024184	3313035.154754654	3395898.00608676	3196997.935973395	3575450.04716879	0.0	2143820.2820640528	3325895.201341831	2598365.1012887573	3700359.4669574974	2369342.347394676	1739569.8317975015	3176901.064470057
P_16	2189162.733191584	2013827.2331225213	3398572.595437858	2774502.5054031294	5631327.488259094	3009164.4605489327	3285863.4210510734	4388310.952351933	4393766.534223062	4441448.103454825	3722943.499956261	3606390.619102834	0.0	2563295.0203329306	2863890.388205821	4310665.970691734	4132757.2052161824	2495506.385502208	2266406.027343505	3081047.5341655337
P_17	1399804.522539459	1472634.0611383992	1548452.5347964517	1879520.202475459	1943921.3734722235	1548021.9736253242	1853137.1833579112	2127554.9959345306	2402079.2932172483	2467429.2466718955	2118639.714758985	2130250.727032141	0.0	1948911.607748534	1976897.6280775224	1586921.496150768	2420740.934025959	2053592.7037220728	1773831.6679766865	1793894.6740193376
P_18	1482831.3763326614	1200094.303544863	1560842.4405528677	1568630.7279091815	3576523.0699702627	1328677.1332796558	2053618.2635163944	2152136.7298837085	1953120.585580115	2150417.3921014736	1964473.511862784	2232919.3416614174	0.0	1407164.4563209277	1737357.2990204557	1437545.578410127	2680603.917593961	1482207.4777420785	1617166.2697216466	2387059.1743605626
P_19	63989861.584374845	31551533.10977578	56595599.17897338	56566734.88682046	79865231.5649542	64830210.7679464	20601178.74301853	51558334.5233233	26294095.44994769	110440107.80133016	45585933.65685581	38049395.05016513	0.0	101531928.9289019	39551058.47873979	28562262.3067866	42494847.78301586	63874331.0838836	45340015.71415784	51840533.69646024
P_20	2247697.349039356	2006679.151707565	2342824.665101488	2434333.481787262	4655681.118774909	2028143.988718796	3813850.932937023	3787832.7171137794	2686281.476354451	3871607.715172266	2594554.073260113	2998307.1925324867	0.0	1737374.2772822615	2527985.033537444	2357837.923717666	3415616.4436552823	2330826.2928218725	1925363.94739188	3277096.888321951
P_21	1359322.9033490345	1708017.7546970174	1556505.6531699777	1667936.2247739048	2444198.396694	1199717.116417425	2168345.1188960364	2138922.4527860032	2084137.2727421487	2307861.944537091	2917468.9138478003	2494306.352150497	0.0	1574895.9798818475	2099439.5074329595	1573967.3396899654	2217089.486341789	1857111.919623319	1369288.504037514	2078217.7961960624
P_22	4930055.577698765	4641955.603149702	6337054.458415154	5980556.208679644	7957994.301724553	7022102.744617549	4658742.5965017695	8130763.105829551	8893024.446552219	8506904.406111633	6581088.939307412	5153136.173211454	0.0	4982591.308711074	4802319.2519813245	9816465.644056384	9290986.160785723	5416001.555986794	4280180.339566171	4484312.753448549
P_23	1374880.2975190622	1734530.520343935	2546698.129430159	2639969.9049377847	2691544.764190392	1710263.3083949604	2565367.098162747	3011109.6039579418	2287753.548295798	2537519.6790217767	2758551.992203696	3015335.082280681	0.0	2110742.7920963992	2099473.0012203543	2647855.723561568	3396137.0775083383	2118630.146737967	2059514.4124191364	2455589.066904553
P_24	2790940.428757703	1987967.773687292	2819773.9587068786	3133888.161482709	3994757.582298288	3564650.551853965	2391079.326750484	2924509.137867532	3412717.48325834	2995440.975961996	3871920.798056245	3142126.7055273494	0.0	2868613.74848959	2497245.5623982213	1994638.713360703	3914836.516828563	2203492.164985093	2525754.9403460026	3525823.041174669
P_25	1364372.7942142782	1797803.360923509	2027069.5968740147	1708307.842139593	2617787.0827545463	1476730.69060243	2380979.282782908	2560265.616447831	2176882.8509349646	2905219.0526850857	2533090.0294570904	2515297.404935572	0.0	1483115.0000785962	1794602.904990672	2823813.9271051725	3140899.9077290487	2011533.185899332	1752994.6699763942	2227311.3322676374
P_26	1864432.0762400085	1852357.305402198	2574599.97659646	2133461.3660885063	3883440.660029592	2209143.333254799	2283123.303434506	2610534.514063185	3126670.385824625	3463393.58277538	2028728.9838956024	2426227.7552014296	0.0	2143252.940690311	1978246.621177991	3530213.1080101025	2877905.9717611666	2114515.6302415547	1799157.5737183164	2489789.48059099
P_27	1227104.2498058449	1773191.304057461	1888160.6681940027	1869916.883210096	2514425.573805116	1427247.5214993192	2108860.363254688	2417646.0364943244	2445375.148989416	2469227.839223539	2834591.565059067	2670372.601260092	0.0	1826941.8119838608	2458643.542731924	2004298.498322304	2771187.2117190994	2026939.9695502592	1654842.91397394	2004054.9200365965
P_28	1400157.0691598728	1608807.7452628957	2061409.8730181805	2140999.9185043266	3151427.0091058067	2332745.9057149603	2138530.3443486867	2050437.898726136	2411230.145023242	1957817.020138478	2343679.8081545774	2452935.949662884	0.0	2020461.582974964	1656784.335146288	1436938.2088011147	2478454.15005254	1522366.1522021133	1755759.4578682703	1852993.112497385
P_29	1504590.6495915237	1692007.2916893463	2745571.886794009	1971623.2727210363	4503007.925610364	2401124.279365014	2376767.593049576	2588930.2261859137	2577143.782855168	3399316.2002042546	2380914.3394605336	2872149.347842157	0.0	1892755.832845149	2065872.2226117365	2435484.525581113	2459763.0888451035	1655199.8252232803	2011585.498757144	2336105.1660836865
P_30	3140488.309771679	2432013.8884203373	2940597.24839906	3187878.248659084	3515879.691100045	3534655.934270914	2820202.677683199	5219601.677182511	4937458.387852047	3945946.029697095	4376440.080579628	4457486.9203514205	0.0	4508722.804368034	3609877.8564910553	2169685.0374886426	3801552.634308912	3234320.448245585	4037832.722767552	3087242.159296629
P_31	1161344.6075668086	1316019.856465516	1831120.9837561047	1462780.2243008504	3159860.5856089504	1437369.531483868	2114358.565506257	1897500.307479849	2178955.2861990915	2917873.823755661	2390971.8916136096	2116375.05478542	0.0	1190104.3451964925	1453161.168099548	2626850.596345233	2936240.6040743496	2276283.507499515	1278185.090061164	2126959.277767846
